date,^DJI,^GSPC,^IXIC,^NYA,^RUT
2022-01-03,0,0,0,8,-66
2022-01-04,0,0,0,-8,67
2022-01-05,0,0,0,0,-2
2022-01-06,0,0,0,0,1
2022-01-07,0,0,12,0,-84
2022-01-10,0,0,0,0,2
2022-01-11,0,0,-12,10,4
2022-01-12,0,48,0,-10,-26
2022-01-13,0,-48,15,0,2
2022-01-14,0,0,0,0,0
2022-01-18,0,0,1,0,-10
2022-01-19,0,0,3,0,-23
2022-01-20,0,2,0,0,1
2022-01-21,0,0,0,0,0
2022-01-24,0,0,0,0,0
2022-01-25,7,-2,-19,0,12
2022-01-26,0,0,0,0,0
2022-01-27,-7,55,0,0,1
2022-01-28,0,-1,0,0,2
2022-01-31,0,-54,3,0,97
2022-02-01,0,0,0,0,1
2022-02-02,0,0,0,0,1
2022-02-03,0,0,0,0,0
2022-02-04,0,0,-3,0,21
2022-02-07,0,0,0,0,0
2022-02-08,0,0,0,0,0
2022-02-09,0,2,0,0,-4
2022-02-10,0,2,0,0,-6
2022-02-11,0,31,0,0,-66
2022-02-14,0,0,0,0,0
2022-02-15,0,-35,14,0,-67
2022-02-16,0,2,6,0,1
2022-02-17,0,0,0,0,0
2022-02-18,0,-2,-20,0,-81
2022-02-22,0,0,42,0,-64
2022-02-23,0,0,0,0,3
2022-02-24,0,0,-42,0,-608
2022-02-25,0,6,0,94,100
2022-02-28,0,3,0,3,-30
2022-03-01,0,-9,23,-12,-42
2022-03-02,0,0,2,0,-16
2022-03-03,0,0,1,-85,4
2022-03-04,0,0,-26,0,55
2022-03-07,0,0,0,0,100
2022-03-08,0,100,0,0,100
2022-03-09,5,100,0,0,100
2022-03-10,6,1,0,0,-100
2022-03-11,-11,-100,0,58,-72
2022-03-14,0,0,0,0,5
2022-03-15,0,0,15,0,-100
2022-03-16,0,-13,0,0,29
2022-03-17,0,0,7,0,-47
2022-03-18,0,0,69,-58,2
2022-03-21,0,-30,9,0,4
2022-03-22,0,0,0,0,0
2022-03-23,0,1,4,0,-29
2022-03-24,0,-59,20,0,-14
2022-03-25,2,5,-5,0,-5
2022-03-28,-2,0,0,0,33
2022-03-29,0,0,11,0,-77
2022-03-30,0,0,0,0,0
2022-03-31,0,-5,1,0,0
